"","rank","population","region","subregion","country","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines","source_name","source_website","dummydelete","max","digits"
"1",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-05-11,504502,448878,55624,NA,13921,1.27,1.13,0.14,349,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"2",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-05-20,547901,470341,77560,NA,4822,1.38,1.18,0.19,121,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"3",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-05-24,573277,476367,96910,NA,5692,1.44,1.2,0.24,143,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"4",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-05-26,590454,479372,111082,NA,6768,1.48,1.2,0.28,170,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"5",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-05-27,593313,479574,113739,2859,6487,1.49,1.2,0.29,163,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"6",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-05-30,600152,480226,119926,NA,4746,1.51,1.21,0.3,119,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"7",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-02,626290,481690,144600,NA,5119,1.57,1.21,0.36,129,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"8",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-03,630305,481800,148505,4015,5285,1.58,1.21,0.37,133,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"9",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-08,641295,482952,158343,NA,3388,1.61,1.21,0.4,85,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"10",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-14,662003,484737,177266,NA,3272,1.66,1.22,0.44,82,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"11",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-22,765890,582128,183762,NA,12986,1.92,1.46,0.46,326,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"12",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-27,835694,649434,186260,NA,13682,2.1,1.63,0.47,343,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"13",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-06-30,886854,699200,187654,NA,15286,2.23,1.76,0.47,384,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"14",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-07-05,915671,726349,189322,NA,8989,2.3,1.82,0.48,226,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"15",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-07-07,934463,735213,199250,NA,6801,2.35,1.85,0.5,171,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"16",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-07-11,962093,742934,219159,NA,7455,2.42,1.87,0.55,187,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"17",176,39883704,"South Asia","Southern Asia","Afghanistan","AFG",2021-08-20,1201286,770542,430744,NA,1119,3.02,1.93,1.08,28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","World Health Organization","https://covid19.who.int/",1,1.08,0
"18",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-02-02,550,549,1,NA,0,0.02,0.02,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"19",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-02-09,1127,689,438,NA,82,0.04,0.02,0.02,29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"20",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-02-17,1701,1090,611,NA,72,0.06,0.04,0.02,25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"21",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-02-18,3049,2438,611,1348,254,0.11,0.08,0.02,88,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"22",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-02-22,6728,6073,655,NA,739,0.23,0.21,0.02,257,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"23",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-11,622507,440921,181586,9548,12160,21.67,15.35,6.32,4233,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"24",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-12,632676,444755,187921,10169,10870,22.02,15.48,6.54,3784,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"25",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-13,638338,445402,192936,5662,9445,22.22,15.5,6.72,3288,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"26",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-14,653330,448571,204759,14992,9662,22.74,15.61,7.13,3363,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"27",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-17,680083,456980,223103,NA,9589,23.67,15.91,7.77,3338,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"28",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-18,688947,460191,228756,8864,9491,23.98,16.02,7.96,3304,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"29",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-19,697811,463402,234409,8864,9305,24.29,16.13,8.16,3239,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"30",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-20,703743,466083,237660,5932,9344,24.5,16.22,8.27,3252,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"31",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-21,708846,469169,239677,5103,7931,24.67,16.33,8.34,2761,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"32",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-23,716616,472840,243776,NA,6493,24.94,16.46,8.49,2260,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"33",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-24,725135,475237,249898,8519,6436,25.24,16.54,8.7,2240,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"34",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-26,748986,479789,269197,NA,7311,26.07,16.7,9.37,2545,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"35",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-27,759043,481788,277255,10057,7900,26.42,16.77,9.65,2750,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"36",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-30,772204,485162,287042,NA,7941,26.88,16.89,9.99,2764,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"37",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-05-31,776461,486128,290333,4257,7332,27.03,16.92,10.11,2552,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
