"","LGA","VaxPercent"
"1","Alpin",70.4
"2","Arara",64.1
"3","Ballara",63.5
"4","Banyul",66.1
"5","Bass Coas",70
"6","Baw Ba",62.7
"7","Baysid",74.3
"8","Benall",69.4
"9","Boroondar",68.9
"10","Brimban",50.2
"11","Bulok",76.4
"12","Campasp",67.6
"13","Cardini",56.9
"14","Case",54.2
"15","Central Goldfield",67.7
"16","Colac-Otwa",63.9
"17","Corangamit",68.9
"18","Darebi",52.5
"19","East Gippslan",69.3
"20","Franksto",57
"21","Gannawarr",68.5
"22","Glen Eir",64.1
"23","Glenel",66.5
"24","Golden Plain",61.4
"25","Greater Bendig",65
"26","Greater Dandenon",48
"27","Greater Geelon",68
"28","Greater Shepparto",61
"29","Hepbur",69.3
"30","Hindmars",64.8
"31","Hobsons Ba",60.1
"32","Horsha",65
"33","Hum",48.4
"34","Indig",68.8
"35","Kingsto",62
"36","Kno",60.7
"37","Latrob",55.3
"38","Loddo",66.2
"39","Macedon Range",74.3
"40","Manningha",63.6
"41","Mansfiel",66
"42","Maribyrnon",55.8
"43","Maroonda",61.6
"44","Melbourn",45.7
"45","Melto",52.1
"46","Mildur",54.6
"47","Mitchel",57.2
"48","Moir",65.9
"49","Monas",57.7
"50","Moonee Valle",60.9
"51","Mooraboo",62.2
"52","Morelan",53.9
"53","Mornington Peninsul",68.5
"54","Mount Alexande",70.4
"55","Moyn",70.2
"56","Murrindind",62.6
"57","Nillumbi",70.7
"58","Northern Grampian",67.9
"59","Port Philli",58.5
"60","Pyrenee",63.1
"61","Queenscliff",92.5
"62","South Gippslan",66.2
"63","Southern Grampian",71.9
"64","Stonningto",61.3
"65","Strathbogi",70
"66","Surf Coas",78.7
"67","Swan Hil",67
"68","Towon",69.1
"69","Wangaratt",67.6
"70","Warrnamboo",73.5
"71","Wellingto",65.4
"72","West Wimmer",67.3
"73","Whitehors",61.9
"74","Whittlese",49.9
"75","Wodong",63.1
"76","Wyndha",58.1
"77","Yarr",57.1
"78","Yarra Range",58
"79","Yarriambiac",71.8
"80","Unincorporated V",26.2
