"","State","date","Vaccination Percent","Percent","Forecast"
"1","ACT",2021-08-01,NA,23.06,"False"
"2","ACT",2021-08-02,NA,23.92,"False"
"3","ACT",2021-08-03,NA,24.43,"False"
"4","ACT",2021-08-04,NA,24.77,"False"
"5","ACT",2021-08-05,NA,25.07,"False"
"6","ACT",2021-08-06,NA,25.64,"False"
"7","ACT",2021-08-07,NA,26.08,"False"
"8","ACT",2021-08-08,NA,26.38,"False"
"9","ACT",2021-08-09,NA,27.14,"False"
"10","ACT",2021-08-10,NA,27.47,"False"
"11","ACT",2021-08-11,NA,28.2,"False"
"12","ACT",2021-08-12,NA,28.61,"False"
"13","ACT",2021-08-13,NA,29.94,"False"
"14","ACT",2021-08-14,NA,30.31,"False"
"15","ACT",2021-08-15,NA,30.47,"False"
"16","ACT",2021-08-16,NA,31.27,"False"
"17","ACT",2021-08-17,NA,32.18,"False"
"18","ACT",2021-08-18,NA,32.59,"False"
"19","ACT",2021-08-19,NA,34.13,"False"
"20","ACT",2021-08-20,NA,35.7,"False"
"21","ACT",2021-08-21,NA,35.99,"False"
"22","ACT",2021-08-22,NA,36.24,"False"
"23","ACT",2021-08-23,NA,37.57,"False"
"24","ACT",2021-08-24,NA,37.91,"False"
"25","ACT",2021-08-25,NA,38.8,"False"
"26","ACT",2021-08-26,NA,39.95,"False"
"27","ACT",2021-08-27,NA,40.44,"False"
"28","ACT",2021-08-28,NA,40.67,"False"
"29","ACT",2021-08-29,NA,40.95,"False"
"30","ACT",2021-08-30,NA,41.35,"False"
"31","ACT",2021-08-31,NA,42.89,"False"
"32","ACT",2021-09-01,NA,43.86,"False"
"33","ACT",2021-09-02,NA,44.55,"False"
"34","ACT",2021-09-03,NA,45.32,"False"
"35","ACT",2021-09-04,NA,45.87,"False"
"36","ACT",2021-09-05,NA,46.33,"False"
"37","ACT",2021-09-06,NA,46.96,"False"
"38","ACT",2021-09-07,NA,47.9,"False"
"39","ACT",2021-09-08,NA,48.66,"False"
"40","ACT",2021-09-09,NA,49.37,"False"
"41","ACT",2021-09-10,NA,50.09,"False"
"42","ACT",2021-09-11,NA,50.79,"False"
"43","ACT",2021-09-12,NA,51.37,"False"
"44","ACT",2021-09-13,NA,52.09,"False"
"45","ACT",2021-09-14,NA,52.97,"False"
"46","ACT",2021-09-15,NA,53.71,"False"
"47","ACT",2021-09-16,NA,54.43,"False"
"48","ACT",2021-09-17,NA,55.22,"False"
"49","ACT",2021-09-18,NA,55.93,"False"
"50","ACT",2021-09-19,NA,56.29,"False"
"51","ACT",2021-09-20,NA,56.94,"False"
"52","ACT",2021-09-21,NA,57.97,"False"
"53","ACT",2021-09-22,NA,58.72,"False"
"54","ACT",2021-09-23,NA,59.46,"False"
"55","ACT",2021-09-24,NA,60.29,"False"
"56","ACT",2021-09-25,NA,60.99,"False"
"57","ACT",2021-09-26,NA,61.47,"False"
"58","ACT",2021-09-27,NA,62.24,"False"
"59","ACT",2021-09-28,NA,63.15,"False"
"60","ACT",2021-09-29,NA,63.74,"False"
"61","ACT",2021-09-30,NA,64.76,"False"
"62","ACT",2021-10-01,NA,65.67,"False"
"63","ACT",2021-10-02,NA,66.6,"False"
