date,vaccine,doses
Nov-21,Novavax,0
Dec-21,Novavax,0
Jan-22,Novavax,1
Feb-22,Novavax,6
Mar-22,Novavax,11
Apr-22,Novavax,16
May-22,Novavax,21
Jun-22,Novavax,26
Jul-22,Novavax,31
Aug-22,Novavax,36
Sep-22,Novavax,41
Oct-22,Novavax,46
Nov-22,Novavax,51
Dec-22,Novavax,56
Jan-23,Novavax,61
Feb-23,Novavax,66
Mar-23,Novavax,71
Apr-23,Novavax,76
May-23,Novavax,81
Nov-21,AstraZeneca,20
Dec-21,AstraZeneca,24.4
Jan-22,AstraZeneca,28.8
Feb-22,AstraZeneca,33.2
Mar-22,AstraZeneca,37.6
Apr-22,AstraZeneca,42
May-22,AstraZeneca,46.4
Jun-22,AstraZeneca,50.8
Jul-22,AstraZeneca,53.8
Aug-22,AstraZeneca,53.8
Sep-22,AstraZeneca,53.8
Oct-22,AstraZeneca,53.8
Nov-22,AstraZeneca,53.8
Dec-22,AstraZeneca,53.8
Jan-23,AstraZeneca,53.8
Feb-23,AstraZeneca,53.8
Mar-23,AstraZeneca,53.8
Apr-23,AstraZeneca,53.8
May-23,AstraZeneca,53.8
Nov-21,Moderna,5
Dec-21,Moderna,10
Jan-22,Moderna,13
Feb-22,Moderna,16
Mar-22,Moderna,19
Apr-22,Moderna,22
May-22,Moderna,25
Jun-22,Moderna,25
Jul-22,Moderna,25
Aug-22,Moderna,25
Sep-22,Moderna,25
Oct-22,Moderna,25
Nov-22,Moderna,25
Dec-22,Moderna,25
Jan-23,Moderna,25
Feb-23,Moderna,25
Mar-23,Moderna,25
Apr-23,Moderna,25
May-23,Moderna,25
Nov-21,Pfizer,35
Dec-21,Pfizer,40
Jan-22,Pfizer,45
Feb-22,Pfizer,50
Mar-22,Pfizer,55
Apr-22,Pfizer,60
May-22,Pfizer,65
Jun-22,Pfizer,70
Jul-22,Pfizer,75
Aug-22,Pfizer,80
Sep-22,Pfizer,85
Oct-22,Pfizer,90
Nov-22,Pfizer,95
Dec-22,Pfizer,100
Jan-23,Pfizer,105
Feb-23,Pfizer,110
Mar-23,Pfizer,115
Apr-23,Pfizer,120
May-23,Pfizer,125
